"lang","family","L_min","L","L_r","eta","omega"
"Arabic","Afro-Asiatic",4.0901,4.6680,5.2772,0.8762,0.5132
"Catalan","Indo-European",4.0427,4.8691,7.1209,0.8303,0.7315
"Chinese","Sino-Tibetan",1.4901,1.7618,2.0993,0.8458,0.5540
"English","Indo-European",3.8310,5.0383,6.8153,0.7604,0.5954
"Esperanto","Indo-European",3.5907,4.7859,5.9460,0.7503,0.4926
"Finnish","Uralic",5.9171,7.2101,8.6012,0.8207,0.5183
"Japanese","Japonic",1.2863,1.6133,2.0330,0.7973,0.5621
"Korean","Koreanic",2.3812,2.8868,3.2930,0.8249,0.4455
"Polish","Indo-European",4.8075,6.1773,7.9466,0.7783,0.5636
"Russian","Indo-European",5.1757,6.2985,7.6493,0.8217,0.5461
"Swahili","Niger-Congo",3.4511,4.7045,6.8225,0.7336,0.6282
"Turkish","Turkic",3.9237,4.8788,6.3569,0.8042,0.6075